"DisplayName","DisplayVersion","Publisher","InstallDate"
"Microsoft .NET AppHost Pack - 8.0.22 (x64_x86)","64.88.42551","Microsoft Corporation","20251111"
"Microsoft .NET AppHost Pack - 8.0.22 (x64)","64.88.42551","Microsoft Corporation","20251111"
"Microsoft .NET AppHost Pack - 9.0.11 (x64_arm64)","72.44.42384","Microsoft Corporation","20251111"
"Microsoft .NET AppHost Pack - 9.0.11 (x64_x86)","72.44.42384","Microsoft Corporation","20251111"
"Microsoft .NET AppHost Pack - 9.0.11 (x64)","72.44.42384","Microsoft Corporation","20251111"
"Microsoft .NET Core 2.0.6 - Windows Server Hosting","2.0.40314.10011","Microsoft Corporation",
"Microsoft .NET Core 3.1.32 - Windows Server Hosting","3.1.32.22566","Microsoft Corporation",
"Microsoft .NET Core Host - 2.0.6 (x64)","16.24.26212","Microsoft Corporation","20230112"
"Microsoft .NET Core Host - 2.0.6 (x86)","16.24.26212","Microsoft Corporation","20230112"
"Microsoft .NET Core Host - 3.1.32 (x64)","24.192.31915","Microsoft Corporation","20221213"
"Microsoft .NET Core Host - 3.1.32 (x86)","24.192.31915","Microsoft Corporation","20250916"
"Microsoft .NET Core Host FX Resolver - 2.0.6 (x64)","16.24.26212","Microsoft Corporation","20230112"
"Microsoft .NET Core Host FX Resolver - 2.0.6 (x86)","16.24.26212","Microsoft Corporation","20230112"
"Microsoft .NET Core Host FX Resolver - 3.1.32 (x64)","24.192.31915","Microsoft Corporation","20221213"
"Microsoft .NET Core Host FX Resolver - 3.1.32 (x86)","24.192.31915","Microsoft Corporation","20250916"
"Microsoft .NET Core Runtime - 2.0.6 (x64)","16.24.26212","Microsoft Corporation","20230112"
"Microsoft .NET Core Runtime - 2.0.6 (x64)","2.0.6.26212","Microsoft Corporation",
"Microsoft .NET Core Runtime - 2.0.6 (x86)","16.24.26212","Microsoft Corporation","20230112"
"Microsoft .NET Core Runtime - 2.0.6 (x86)","2.0.6.26212","Microsoft Corporation",
"Microsoft .NET Core Runtime - 3.1.32 (x64)","24.192.31915","Microsoft Corporation","20221213"
"Microsoft .NET Core Runtime - 3.1.32 (x64)","3.1.32.31915","Microsoft Corporation",
"Microsoft .NET Core Runtime - 3.1.32 (x86)","24.192.31915","Microsoft Corporation","20250916"
"Microsoft .NET Core Runtime - 3.1.32 (x86)","3.1.32.31915","Microsoft Corporation",
"Microsoft .NET Framework 4.6.2 Targeting Pack","4.6.01590","Microsoft Corporation","20251007"
